time,type
0,0
2,1
4,0
6,2
8,1
10,0
12,1
14,2
16,0
19,1
20.5,2
22,0
25,1
27,0
27.5,1
28,0
28.5,1
30,2
31.5,0
34.5,1
36,2
37.5,0
40.5,1
42.5,0
43,1
43.5,0
44,1
45.5,2
49,0
52,1
53.5,2
55,0
56.5,1
58,0
58.5,1
59.5,1
61.5,2
63,2
64.5,0
66,1
67.5,1
69,2
70.5,0
72,1
73.5,1
74,0
75,0
77,2
78.5,2
80,2
83,0
84.5,1
86,2
89,0
90.5,1
92.5,0
93,1
93.5,0
94,1
95.5,2
98.5,1
100,1
101.5,2
104.5,0
106,1
108,0
108.5,1
109,0
109.5,1
110,0
111,2
112,2
116,0
117,1
118,0
119,1
120,0
121,2
121.5,2
122,2
123,0
123.5,1
124,0
125,1
126,0
127,1
128,0
129,2
129.5,2
130,2
131,0
131.5,1
132,0
132.5,1
134,0
134.5,1
136,2
137,2
137.5,2
138,0
138.5,1
139,0
139.5,1
140,0
140.5,1
141,0
141.5,1
143,2
144,0
144.5,1
145,0
145.5,1
146,0
147,1
148,0
149,1
150,0
151,2
151.5,2
152,2
153,0
153.5,1
154,0
155,1
156,0
157,1
158,0
159,2
159.5,2
160,2
161,0
161.5,1
162,0
162.5,1
164,0
164.5,1
166,2
167,2
167.5,2
168,0
168.5,1
169,0
169.5,1
170,0
170.5,1
171,0
171.5,1
173,2
174,0
174.5,1
176,2
